DEPARTAMENTO DE MADRE DE DIOS,,,,,,,,,,,
,,,,,,,,,,,
CÓDIGO,CENTROS POBLADOS,"REGIÓN NATURAL (según piso
altitudinal)","ALTITUD
(m s.n.m.)",POBLACIÓN CENSADA,,,VIVIENDAS PARTICULARES,,,District Code,District Name
22,4 AMIGOS,Rupa Rupa,430,36,23,13,10,10,-,170204,HUEPETUHE
23,BUENA FORTUNA,Rupa Rupa,410,25,19,6,7,7,-,170204,HUEPETUHE
24,PADILLA,Rupa Rupa,418,31,20,11,9,9,-,170204,HUEPETUHE
25,NUEVA,Rupa Rupa,424,28,20,8,8,8,-,170204,HUEPETUHE
26,GUADALUPE,Rupa Rupa,418,21,17,4,4,4,-,170204,HUEPETUHE
27,PRIMAVERA,Rupa Rupa,431,30,22,8,13,13,-,170204,HUEPETUHE
28,GLORIA,Rupa Rupa,484,19,15,4,7,7,-,170204,HUEPETUHE
29,TIGRIMAYO,Omagua,347,21,15,6,10,10,-,170204,HUEPETUHE
30,MAGUAY,Rupa Rupa,451,73,58,15,14,14,-,170204,HUEPETUHE
31,PUNO,Rupa Rupa,437,48,37,11,11,11,-,170204,HUEPETUHE
32,AGUAJAL,Rupa Rupa,410,26,22,4,4,4,-,170204,HUEPETUHE
33,SECA,Rupa Rupa,442,18,14,4,5,5,-,170204,HUEPETUHE
34,CAYCHIHUE BARRACA,Omagua,367,91,69,22,17,17,-,170204,HUEPETUHE
35,SETAPO,Omagua,334,22,18,4,11,11,-,170204,HUEPETUHE
36,ARCO IRIS,Omagua,306,13,7,6,5,5,-,170204,HUEPETUHE
1,IÑAPARI,Omagua,238,1 890,1 063,827,730,595,135,170301,IÑAPARI
2,BELGICA,Omagua,244,85,43,42,39,31,8,170301,IÑAPARI
3,NUEVA ESPERANZA,Omagua,244,29,19,10,29,22,7,170301,IÑAPARI
4,VILLA PRIMAVERA,Omagua,302,324,220,104,85,82,3,170301,IÑAPARI
5,SAN ISIDRO DE CHILINA,Omagua,328,46,33,13,28,22,6,170301,IÑAPARI
6,ALTO BELGICA,Omagua,249,7,4,3,2,2,-,170301,IÑAPARI
7,NOAYA,Omagua,279,10,7,3,2,2,-,170301,IÑAPARI
