LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município Infecção  e Mês Diagnóstico
Período:2010
"Município Infecção ";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"170950 Gurupi";1;1;1;-;-;-;2;-;-;-;1;-;6
"170980 Ipueiras";-;-;-;-;-;1;-;-;-;-;-;-;1
"171050 Itacajá";-;-;-;-;1;1;-;-;1;1;-;-;4
"171110 Itaporã do Tocantins";-;-;-;-;1;-;-;-;-;-;-;-;1
"171150 Jaú do Tocantins";-;-;-;-;1;-;-;-;-;-;-;-;1
"171180 Juarina";-;-;-;-;-;-;-;1;-;-;-;-;1
"171190 Lagoa da Confusão";-;-;2;-;3;1;1;-;-;1;-;-;8
"171200 Lajeado";-;-;-;-;-;1;-;-;-;-;-;-;1
"171240 Lizarda";1;-;-;1;1;-;1;-;1;-;-;-;5
"171245 Luzinópolis";-;-;-;-;-;-;-;2;-;1;-;-;3
"171250 Marianópolis do Tocantins";2;6;3;2;3;9;1;1;2;-;-;-;29
"171280 Maurilândia do Tocantins";-;-;-;-;-;-;-;1;2;1;-;-;4
"171320 Miracema do Tocantins";2;2;-;-;1;-;1;-;-;1;1;-;8
"171330 Miranorte";1;-;-;-;-;-;1;-;-;-;-;-;2
"171360 Monte do Carmo";4;2;3;1;3;3;1;2;1;3;7;1;31
"171395 Muricilândia";1;-;-;-;-;1;-;-;-;-;-;-;2
"171420 Natividade";-;-;-;-;-;-;-;-;-;1;-;1;2
"171430 Nazaré";-;-;-;-;-;-;-;1;1;1;-;-;3
"171500 Nova Rosalândia";-;-;-;-;-;-;-;1;-;-;-;-;1
"171510 Novo Acordo";-;-;-;-;-;1;-;1;-;-;-;-;2
"171515 Novo Alegre";-;-;-;-;-;-;-;1;-;1;1;-;3
"171525 Novo Jardim";-;-;-;-;-;-;-;1;1;1;1;1;5
"172100 Palmas";2;1;1;2;3;2;5;1;1;1;3;1;23
"171570 Palmeirante";-;-;-;-;-;-;-;1;-;-;-;-;1
"171575 Palmeirópolis";-;-;2;-;-;-;-;-;1;1;-;1;5
"171610 Paraíso do Tocantins";-;2;2;-;1;-;-;-;1;-;2;1;9
"171630 Pau D'Arco";1;-;-;-;-;-;-;-;-;-;-;-;1
"171650 Pedro Afonso";2;1;1;-;-;-;-;-;-;2;1;1;8
"171660 Peixe";-;-;-;1;-;-;-;-;-;-;-;-;1
"171700 Pindorama do Tocantins";1;-;-;-;-;-;-;-;1;-;-;-;2
"171720 Piraquê";-;-;-;-;1;2;1;-;1;-;-;-;5
